Sl_No,Ministry,Sector,Project_Name,Agency,Project_Code,State,Approval_Date,Start_Date,Target_DoC,Revised_DoC,Original_Cost_Cr,Revised_Cost_Cr,Cumulative_Expenditure_Cr,Physical_Progress_Pct,Page
1317,Ministry of Road Transport & Highways,Roads & Highways,6L Greenfield Varanasi- Ranchi- Kolkata Highway from junction with NH-320 in Lepo village to Kamlapur villageJH/WB border from km 358.500 to km 387.200 Pkg -13,NHAI,618734,"Multi-States (Jharkhand, West Bengal)",03/2023,09/2025,09/2027,09/2027,1154.49,0.00,331.43,24.76,127
1318,Ministry of Road Transport & Highways,Roads & Highways,2L PS of JH / WB Border km. 70.524 - Purulia km.84.400 & Purulia km. 94.30 - Chandil Junction with NH-33 km. 153.705 of Old NH-32,NHAI,618909,"Multi-States (Jharkhand, West Bengal)",03/2018,12/2019,08/2022,10/2026,1652.40,0.00,1652.44,97.75,127
1319,Ministry of Road Transport & Highways,Roads & Highways,4L of NH-80 section of Mirza Chauki to Farakka section from existing km 190.00 to design km 200.75 junction at km 3.100 of NH 133 B and from existing km 260.00 to existing km 283.00 design km 274.133 in the state of Jharkhand package - II,NHAI,618948,"Multi-States (Jharkhand, West Bengal)",02/2025,02/2026,01/2028,01/2028,782.18,0.00,225.87,7.98,127
1320,Ministry of Road Transport & Highways,Roads & Highways,Six Laning of KT/KL Border Thalapaddy -Chengala from Km. 17.200 to Km. 57.20,NHAI,619205,"Multi-States (Karnataka, Kerala)",05/2020,11/2021,05/2024,09/2026,1981.07,0.00,1795.92,100.00,127
1321,Ministry of Road Transport & Highways,Roads & Highways,6L from Sankeshwar Bypass to MH-KNT Border from Km. 555.017 to Km. 592.853 of NH-48 Pkg-II,NHAI,618516,"Multi-States (Karnataka, Maharashtra)",01/2022,10/2022,04/2025,05/2027,1388.70,0.00,1203.78,85.30,128
1322,Ministry of Road Transport & Highways,Roads & Highways,Akkalkot MH/KN border New Greenfield corridor from Km 512.000 to Km 548.400 of NH-150C part of Akkalkot KN/TS Border section Package XIV,NHAI,618636,"Multi-States (Karnataka, Maharashtra)",03/2023,10/2024,10/2026,06/2027,1370.75,0.00,336.55,57.54,128
1323,Ministry of Road Transport & Highways,Roads & Highways,Bangalore Ring Road STRR-NH-948A- Package-I of Phase-III from Belagondapalli TN to TN/KNT border from km 144.480 to 179.969,NHAI,618519,"Multi-States (Karnataka, Tamil Nadu)",03/2022,05/2023,05/2025,12/2026,1260.74,0.00,777.13,92.95,128
1324,Ministry of Road Transport & Highways,Roads & Highways,Hosur to Dhamrapuri Pkg-1 [Neraluru - Thorapalli Agraharam],NHAI,618581,"Multi-States (Karnataka, Tamil Nadu)",10/2021,10/2022,10/2024,01/2027,1828.66,0.00,1467.50,78.70,128
1325,Ministry of Road Transport & Highways,Roads & Highways,6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 162.5 to Km. 203.100 in Raichur of NH-150C Pkg-IV,NHAI,618631,"Multi-States (Karnataka, Telangana)",03/2022,11/2022,05/2025,09/2026,1499.73,0.00,840.34,99.51,128
1326,Ministry of Road Transport & Highways,Roads & Highways,6L Access Controlled Greenfield Highway of Nandinne village to Julekal village from Km 202.900 to Km 242.200 Pkg-1,NHAI,618632,"Multi-States (Karnataka, Telangana)",02/2022,01/2023,01/2025,09/2026,972.06,0.00,459.47,93.79,128
1327,Ministry of Road Transport & Highways,Roads & Highways,Thalassery Mahe Bypass Km 170.600 to Km 189.200 of NH-17New NH-66 in Kerala,NHAI,619097,"Multi-States (Kerala, Puducherry)",09/2017,12/2017,05/2020,09/2026,1181.12,0.00,1534.73,100.00,128
1328,Ministry of Road Transport & Highways,Roads & Highways,4L Shahpur to Muktainagar from Km. 186.000 to km 216.278 of NH 753L Pkg II of Boregaon Buzurg to Muktainagar,NHAI,619101,"Multi-States (Madhya Pradesh, Maharashtra)",12/2022,03/2024,03/2026,10/2026,784.35,0.00,368.01,64.00,128
1329,Ministry of Road Transport & Highways,Roads & Highways,"Construction of 26 VUPs, Major Bridge, Service Road etc. on Lalitpur-Sagar- Lakhnadon section of NH-44 NS",NHAI,618556,"Multi-States (Madhya Pradesh, Uttar Pradesh)",02/2023,03/2024,03/2026,08/2026,665.91,0.00,574.39,97.40,128
1330,Ministry of Road Transport & Highways,Roads & Highways,4L of Chowka to Kaimaha near MP/UP Border section NH-34 from D. Ch. 145.000 to D. Ch. 197.266 excluding existing Chhatarpur bypass from D. Ch. 160.307 to D. Ch. 168.630 Package-4,NHAI,618668,"Multi-States (Madhya Pradesh, Uttar Pradesh)",10/2024,09/2025,09/2027,09/2027,996.50,0.00,328.65,49.18,128
1331,Ministry of Road Transport & Highways,Roads & Highways,4L of Bamni - Rajura - Warur - Devada upto M.S. Border of NH - 930D from km 19.000 to km 51.985,NHAI,618941,"Multi-States (Maharashtra, Telangana)",03/2022,03/2024,03/2026,12/2026,968.05,0.00,852.15,78.16,128
1332,Ministry of Road Transport & Highways,Roads & Highways,Viluppuram Km.0.000 to Puducherry Km.29.000,NHAI,618844,"Multi-States (Puducherry, Tamil Nadu)",03/2018,11/2021,11/2023,10/2026,1358.31,0.00,527.54,98.32,128
1333,Ministry of Road Transport & Highways,Roads & Highways,Puducherry Km.29.000 to Poondiyankuppam Km.67.000,NHAI,618845,"Multi-States (Puducherry, Tamil Nadu)",03/2018,11/2021,11/2023,10/2026,1588.40,0.00,460.48,98.75,128
1334,Ministry of Road Transport & Highways,Roads & Highways,Sattanathapuram to Nagapattinam from Km 123.800 to Km 179.555,NHAI,618847,"Multi-States (Puducherry, Tamil Nadu)",03/2018,10/2020,10/2022,12/2026,2899.77,0.00,1595.47,85.60,128
1335,Ministry of Road Transport & Highways,Roads & Highways,6L with access control provision Saharanpur bypass to Ganeshpur section from 13.89 Km to 41.820 Km of Delhi- Dehradun Economic Corridor package-2,NHAI,618711,"Multi-States (Uttar Pradesh, Uttarakhand)",04/2022,11/2022,11/2024,09/2026,796.65,0.00,510.29,99.29,128
1336,Ministry of Road Transport & Highways,Roads & Highways,4-laning of Pilibhit - Sitarganj from Km. 32.500 to Km. 70.800 Pkg-2 of NH-30,NHAI,618783,"Multi-States (Uttar Pradesh, Uttarakhand)",01/2023,03/2024,03/2026,10/2027,1471.19,0.00,480.64,44.41,128
1337,Ministry of Road Transport & Highways,Roads & Highways,Road Safety Improvement of Critical Junctions on MuzaffarnagarHaridwar Section of NH-334 from Km 143000 to Km 196000,NHAI,618886,"Multi-States (Uttar Pradesh, Uttarakhand)",04/2025,10/2025,10/2027,10/2027,238.66,0.00,47.37,22.64,128
1338,Ministry of Road Transport & Highways,Roads & Highways,"Improvement & Up-gradation of NH-734 Section of Moradabad-Thakurdwara Kashipur including Moradabad & Kashipur Bypasse Package-III Kashipur Bypass Length 14.490 Km., Starts from Ch. 38770 and ends at Ch. 53260 existing Ch. 05560",NHAI,618928,"Multi-States (Uttar Pradesh, Uttarakhand)",02/2023,03/2024,09/2025,03/2027,936.12,0.00,400.47,53.84,128
1339,Ministry of Road Transport & Highways,Roads & Highways,4/6L of Spur to Haridwar Greenfield from Km. 0.000 to Km. 50.70,NHAI,618969,"Multi-States (Uttar Pradesh, Uttarakhand)",11/2021,02/2023,02/2025,09/2026,2155.95,0.00,1543.42,92.98,128
1340,Ministry of Road Transport & Highways,Roads & Highways,4L of Haridwar-Nagina section from km. 0.00 to km. 71.614 of NH-74,NHAI,619217,"Multi-States (Uttar Pradesh, Uttarakhand)",12/2015,01/2018,07/2020,10/2026,1659.12,0.00,1548.54,99.85,128
1341,Ministry of Road Transport & Highways,Roads & Highways,Widening of existing Single lane / Intermediate lane road to 2 lane from Km 101 to Km 125 of NH 61,MoRTH,617886,Nagaland,06/2020,06/2024,06/2026,04/2027,252.20,0.00,65.40,44.46,129
1342,Ministry of Road Transport & Highways,Roads & Highways,"Construction of 2-lane with Paved shoulder of Kohima- Bypass Road Connecting NH- 39New NH-02, NH-150New NH-02, NH-61New NH-29, NH-39New NH-02 from Design Km 32.00 to Design Km 43.454Design Length-11.454 Km in the State of Nagaland under SARDP-NE on EPC Mode Package-IV",NHIDCL,618290,Nagaland,07/2020,10/2020,04/2022,12/2026,202.36,0.00,102.45,46.77,129
1343,Ministry of Road Transport & Highways,Roads & Highways,"Construction of 2-lane with Paved shoulder of Kohima-Bypass Road connecting NH- 39 New NH-02, NH150New NH-02, NH7-61 New NH-29 and NH-39 New NH-02 from Design km 21.000 to km 32.268 [Design length11.268 km] in the state of Nagaland Under SARDP-NE on EPC Mode Package- 3",NHIDCL,618291,Nagaland,07/2020,06/2023,06/2025,12/2026,159.85,0.00,128.51,39.62,129
1344,Ministry of Road Transport & Highways,Roads & Highways,Construction of 2-Lane with paved shoulder of Kohima-Bypass Road connecting New NH-02 and New NH-29 from Design Km 10.500 to design Km 21.000 [Design Length- 10.500 km] including TUNNEL of 500m at Ch. 11.000 in the state of Nagaland Under SARDP-NE on EPC Mode Package-2,NHIDCL,618292,Nagaland,07/2020,10/2020,10/2022,10/2027,277.44,0.00,201.99,71.29,129
1345,Ministry of Road Transport & Highways,Roads & Highways,"Construction of 2-Lane with paved shoulder of Kohima-Bypass Road connecting NH- 39New NH-02, NH-150New NH-02, NH-61New NH-29 and NH-39New NH-02 from design Km 0.00 to Km 10.500 in the State of Nagaland under SARDP-NE on EPC Mode Package-1 -Balance work",NHIDCL,618293,Nagaland,07/2020,11/2023,11/2026,11/2026,232.29,0.00,120.94,27.39,129
1346,Ministry of Road Transport & Highways,Roads & Highways,Balance work of Construction of 2-lane with hard shoulder of Kohima - Jessami road on NH-29 old NH-150 from existing km 98.380 near Chizami vill. to km120.367 Nagaland/Manipur Border [Design km 95.700 to design km 117.200] [Design Length 21.500 km] in the state of Nagaland Under Bharatmala Pariyojna on EPC Mode Package-V under NHO,NHIDCL,618296,Nagaland,03/2020,11/2023,11/2025,09/2026,330.80,0.00,268.18,98.39,129
1347,Ministry of Road Transport & Highways,Roads & Highways,Construction of 2-lane with hard shoulder of Kohima - Jessami road on NH-29 Old NH- 150 from existing Km 30.474 Near Kidwema road Chakahabama to existing Km 53.220 Near Kikruma Village Design Km 29.60 to Km 51.50 Design length-21.90 Km in the state of Nagaland Under Bharatmala Pariyojna on EPC Mode under NHO Package-II -Balance work,NHIDCL,618297,Nagaland,03/2020,01/2024,01/2026,12/2026,355.79,0.00,0.00,43.13,129
1348,Ministry of Road Transport & Highways,Roads & Highways,4-Laning of Balance work of Dimapur-Kohima Road from design km 152.490 to km 166.700 Existing km 156.000 to km 172.900 Excluding Dimapur & Kohima Bypass under SARDP-NE Package-III,NHIDCL,618328,Nagaland,03/2016,09/2023,09/2025,09/2026,562.98,0.00,551.33,84.32,129
1349,Ministry of Road Transport & Highways,Roads & Highways,"Widening to 2 Lane with Hard shoulder of Akegwo-Avangkhu section of NH-202K for Package-I Design Chainage 0000 Km to 34795 Km, in the State of Nagaland on EPC mode under NH O-NE",NHIDCL,618364,Nagaland,12/2022,08/2023,02/2026,02/2026,430.24,0.00,0.00,87.00,129
1350,Ministry of Road Transport & Highways,Roads & Highways,Widening to 2 Lane with Hard shoulder of Akegwo-Avangkhu section of NH-202K for Package-III Design Chainage 69875 Km to 106816 Km in the State of Nagaland on EPC mode under NHO-NE,NHIDCL,618365,Nagaland,12/2022,08/2023,02/2026,02/2026,497.18,0.00,0.00,85.67,129
1351,Ministry of Road Transport & Highways,Roads & Highways,Widening to 2 Lane with Hard shoulder of Akegwo-Avangkhu section of NH-202K for Package-II Design Chainage 34795 Km to 69875 Km in the State of Nagaland on EPC mode under NHO-NE,NHIDCL,618366,Nagaland,12/2022,08/2023,02/2026,02/2026,442.54,0.00,0.00,58.50,129
1352,Ministry of Road Transport & Highways,Roads & Highways,Construction of 2 laning with Hard shoulder of Peren-Dimapur section on NH 129A from Design Km 146.208 to Km 163.592 Length- 17.384 km in the state of Nagaland on EPC mode under NHO-TSP Package-III,NHIDCL,618413,Nagaland,02/2021,06/2023,06/2025,09/2026,177.77,0.00,111.89,95.62,129
1353,Ministry of Road Transport & Highways,Roads & Highways,Construction of Balance work for 2-lane with hard shoulder of Peren- Dimapur section on NH-129A from Design Km 126.775 to Km 146.208 Length 19.433 Km in the state of Nagaland on EPC mode under NHO-TSP Package-II,NHIDCL,618414,Nagaland,01/2021,09/2023,09/2025,09/2025,258.52,0.00,136.09,96.53,129
1354,Ministry of Road Transport & Highways,Roads & Highways,"Construction of 2-lane with hard shoulders of Merangkong-Tamlu-Mon road Wakching Twon portion on EPC basis from existing Chainage Km 59000 to Km 73640 [Design Km. 59000 to Km, 72450] Design length - 13.450 Km under SARDP-NE package-V Balance work",NHIDCL,618422,Nagaland,03/2021,09/2023,09/2025,07/2026,161.73,0.00,101.28,99.75,129
1355,Ministry of Road Transport & Highways,Roads & Highways,Construction of 2-Lane with hard shoulders of Merangkong-Tamlu-Mon MTM Road from existing Km 20.456 to Km 41.065 Design Km. 20 to Km. 40.0 Design Length- 20.000 Km in the State of Nagaland under SARDP-NE Phase-A Pkg-2 Balance work,NHIDCL,618423,Nagaland,03/2018,08/2023,08/2025,03/2026,215.79,0.00,173.12,100.00,130
1356,Ministry of Road Transport & Highways,Roads & Highways,Construction of 2-Lane with hard shoulders of Merangkong-Tamlu-Mon Road on EPC Basis from existing road Km. 76.640 to Km 98.065 Design chainage Km. 63.800 to Km. 86.835 Design Length-23.035 Km in the state of Nagaland under SARDP-NE PKG-IV Balance work,NHIDCL,619059,Nagaland,03/2018,09/2023,09/2025,12/2026,323.98,0.00,147.38,79.03,130
1357,Ministry of Road Transport & Highways,Roads & Highways,New construction of Major Bridge with Approaches from Km 0.000 to 1.200 Madhopur -Badabanta section of NH-20 under NHO in Annual Plan 2022-23 in the State of Odisha,MoRTH,617898,Odisha,03/2023,04/2025,10/2027,10/2027,199.50,0.00,5.03,0.00,130
1358,Ministry of Road Transport & Highways,Roads & Highways,Widening and Strengthening to 4LPS/2LPS from km 0.000 to 35.800 Kuakhia - Mangalpur section of NH 20 in the state of Odisha on Annual Plan 2021-22,MoRTH,617899,Odisha,03/2022,02/2024,02/2026,11/2026,636.10,0.00,446.67,56.11,130
1359,Ministry of Road Transport & Highways,Roads & Highways,construction or By-pass road on NH-26 for Nabrangpur Town,MoRTH,617902,Odisha,03/2023,12/2024,12/2026,12/2026,168.95,0.00,77.75,38.00,130
1360,Ministry of Road Transport & Highways,Roads & Highways,Construction of Bypass road to Balangir town from km 72/400 Desing km 0/0 to km 79/800 Design km 11/670 of NH-26 in the State of Odisha.,MoRTH,617904,Odisha,02/2022,04/2023,10/2025,03/2027,238.78,0.00,121.31,55.00,130
1361,Ministry of Road Transport & Highways,Roads & Highways,Construction of 4 lane ROB with approaches in lieu of LC No. RV-172 at km 176.00 of NH-201 present NH-26 at Kesinga including land acquisition in the state of Odisha on EPC mode under Annual Plan 2021-22,MoRTH,617905,Odisha,12/2021,05/2023,05/2025,05/2027,324.09,0.00,161.75,78.00,130
1362,Ministry of Road Transport & Highways,Roads & Highways,"Widening and Strengthening of existing S/L, I/L, & D/L to 2 Lane with PS from Km 256/455 to 256/503, 256/820 to 256/960, 265/760 to 266/010, 266/010 to 266/800, 270/975 to 271/055, 276/460 to 276/560, 276/560 to 276/700, 276/700 to 277/480, 285/780 to 288/290, 288/290 to 291/050 and construction of 3 Nos. of Bypass from Km 266/800 to 267/300, 270/025 to 270/975, & 284/700 to 285/780 on NH-53 under NHO in Annual Plan 2022-23 for the State of Odisha.",MoRTH,617918,Odisha,03/2023,06/2026,12/2027,-,174.21,0.00,62.29,0.00,130
1363,Ministry of Road Transport & Highways,Roads & Highways,Widening and Strengthening to 2LPS including LA from km 318.970 to 353.450 Balikuda-Mulkani Section of NH-55 under NHO in Annual Plan 2022-23 in the State of Odisha. Job No. NH-55-OD-2022-23-656,MoRTH,617920,Odisha,01/2022,06/2025,06/2027,06/2027,511.54,0.00,50.15,3.00,130
1364,Ministry of Road Transport & Highways,Roads & Highways,Widening and strengthening to 2LPS including LA of Kandarpur-Balikuda from km 277/500 to 318/970 of NH-55 in the State of Odisha under Annual Plan 2021-22.,MoRTH,617921,Odisha,03/2022,06/2023,06/2025,06/2027,499.79,0.00,352.67,66.00,130
1365,Ministry of Road Transport & Highways,Roads & Highways,Construction of Jharsuguda Bypass including Land acqusition on NH-49 from km 258.636 to km 283.300 design chainage 258.636 to km 289.876 under NHO in Annual Plan 2022-23 for the state of Odisha Job No.NH-49-OD-2022-23-655,MoRTH,617922,Odisha,09/2021,01/2025,07/2027,07/2027,587.10,0.00,164.89,25.00,130
1366,Ministry of Road Transport & Highways,Roads & Highways,Construction of Daspalla Bypass from km 195.250 To 200.635 of NH-57 including land acquisition in the state of Odisha on EPC mode under Annual Plan 2022-23.,MoRTH,617923,Odisha,02/2023,05/2025,05/2027,05/2027,155.97,0.00,54.64,25.00,130
1367,Ministry of Road Transport & Highways,Roads & Highways,Construction of Bypass to Khordha town from Km 294/000 to 300/300 on NH-57 including LA in the State of Odisha on EPC mode.,MoRTH,617925,Odisha,02/2022,05/2023,11/2024,10/2026,157.49,0.00,118.68,92.00,130
1368,Ministry of Road Transport & Highways,Roads & Highways,Construction of Bypass on NH-59 from Km 336/350 to 349/910 13.56 km near Berhampur town including 4-lane RoB in the state of Odisha.,MoRTH,617930,Odisha,03/2021,03/2022,12/2025,12/2026,196.94,0.00,92.70,70.00,130
1369,Ministry of Road Transport & Highways,Roads & Highways,Construction of four lane ROB and its approaches in lieu of existing Level Crossing No. RV-71 at km 435 on NH-217 New NH-353 at Khariar including land acquisition under NHO in Annual Plan 2021-22 for the state of Odisha for F.Y. 2021-22 to F.Y 2033-34,MoRTH,618003,Odisha,11/2021,06/2023,12/2024,09/2026,154.49,0.00,106.00,90.00,130
1370,Ministry of Road Transport & Highways,Roads & Highways,"Widening & strengthenlng to 2LPS from km 0,000 to 40.000 Dhaugaon- Podamari section of NH 326 in the State of Odisha under Annual Plan 2021.22.",MoRTH,618012,Odisha,03/2022,02/2024,02/2026,12/2026,186.52,0.00,84.85,60.00,130
1371,Ministry of Road Transport & Highways,Roads & Highways,Construction of Dharmagarh Bypass on NH-130C including land acquisition in the state of Odisha on EPC Mode under Annual plan 2022-23.,MoRTH,618079,Odisha,03/2023,04/2025,10/2026,06/2027,172.66,0.00,62.32,15.00,131
1372,Ministry of Road Transport & Highways,Roads & Highways,Widening to 2 lane with paved shoulded of Jareikela Jharkhand/Odisha Border - Dhabaleswar section from 0/0 to 36/0 of NH-320D in the State of Odisha under Annual Plan 2021-22.,MoRTH,618122,Odisha,03/2022,10/2024,10/2026,10/2026,172.09,0.00,53.11,34.00,131
1373,Ministry of Road Transport & Highways,Roads & Highways,Bhadrak KM 136.500 to Baleshwar KM 199.141,NHAI,618523,Odisha,11/2014,03/2019,09/2021,11/2026,844.67,0.00,785.30,91.32,131
1374,Ministry of Road Transport & Highways,Roads & Highways,"Construction of 6-lane flyover at Ainthapali junction and a 2-lane ROB LHS on NH-53 Earlier NH-6 in Sambalpur, on EPC mode in Odisha under NHO",NHAI,618591,Odisha,03/2024,06/2024,12/2026,12/2026,374.17,0.00,112.53,54.20,131
1375,Ministry of Road Transport & Highways,Roads & Highways,"Balance work of 8 nos. of Elephant Underpasses EUPs, 1 no. of Vehicular Underpass VUP, 1 nos. of Light Vehicular Underpass LVUP, 1 nos. of Pedestrian Underpass PUP, 1 nos. of Foot Over Bridge FOB and A2 side approach of Jharpokharia Flyover at Km.215.270 in Baharagora-Singhara section of NH-49",NHAI,618592,Odisha,09/2023,11/2024,05/2026,10/2027,320.64,0.00,55.30,25.04,131
1376,Ministry of Road Transport & Highways,Roads & Highways,Balance work of Rehabilitation and Upgradation to four laning of Baharagora Singhara section of NH-49 from Km.229.727 to Km.238.990 Length 9.263 Km. including construction of five nos. of Elephant Underpasses EUP and fourteen nos. of Animal Underpasses AUP inside the buffer zone of Similipal Tiger Reserve Area in Bangriposi Ghat section in the State of Odisha on EPC Mode,NHAI,618593,Odisha,03/2025,05/2025,11/2027,11/2027,263.32,0.00,14.33,9.95,131
1377,Ministry of Road Transport & Highways,Roads & Highways,6L Greenfield Kaliagura Baunsaguar Section of NH-130-CD Road from km 249000 to km 293000 Package OD-5,NHAI,618677,Odisha,09/2021,05/2022,05/2024,11/2026,1539.75,0.00,1026.83,97.80,131
1378,Ministry of Road Transport & Highways,Roads & Highways,6L Greenfield Baunsaguar - Baraja Section of NH-130-CD Road from km 293000 to km 338500 Package OD-6,NHAI,618678,Odisha,08/2021,06/2022,05/2024,09/2026,1265.59,0.00,1001.47,99.60,131
1379,Ministry of Road Transport & Highways,Roads & Highways,6L Flyover including RE Wall approaches with Flexible Pavement in the Elephant Corridor of Angul Sambalpur Section of NH-42 New NH-55 Km.202.533,NHAI,618704,Odisha,09/2023,06/2024,06/2026,09/2026,150.86,0.00,106.14,100.00,131
1380,Ministry of Road Transport & Highways,Roads & Highways,"4L Godibandha to Ballhar Chhak, Ballhar Chhak to Banarpal & Banarpal to Start of Angul bypass at Km.314.130 to Km.321.035 of NH53, at Km.75.200 to Km.84.000 of NH149 & at Km.84.000 to Km.86.100 of NH55",NHAI,618705,Odisha,12/2024,02/2026,02/2028,02/2028,973.12,0.00,299.01,5.40,131
1381,Ministry of Road Transport & Highways,Roads & Highways,Rehabilitation and Up gradation from 4 to 8 laning of Chandikhole Paradip Section of NH-53 Old NH 5A from Km.39.000 to Km.60.00 Package-3,NHAI,618820,Odisha,03/2023,12/2023,12/2025,03/2027,861.84,0.00,395.98,92.02,131
1382,Ministry of Road Transport & Highways,Roads & Highways,Rehabilitation and Up gradation from 4 to 8 laning of Chandikhole Paradip Section of NH-53 Old NH 5A from Km 18.00 to Km 39.00 in the State of Odisha on HAM mode Package-2,NHAI,618821,Odisha,03/2023,12/2023,12/2025,11/2026,920.47,0.00,435.46,98.22,131
1383,Ministry of Road Transport & Highways,Roads & Highways,Rehabilitation and Up gradation from 4 to 8 laning of Chandikhole Paradip Section of NH-53 Old NH 5A from Km.0.00 to Km.18.00Package-1,NHAI,618822,Odisha,03/2023,12/2023,12/2025,01/2027,929.91,0.00,403.23,96.75,131
1384,Ministry of Road Transport & Highways,Roads & Highways,3L Major Bridge over River Brahmani at Km. 401.250 Duburi - Chandikhole Section of NH-200 New NH -53,NHAI,618908,Odisha,04/2022,08/2022,01/2025,09/2027,153.61,0.00,73.76,38.00,131
1385,Ministry of Road Transport & Highways,Roads & Highways,6L of Badakumari - Karki Section from Km 179.000 to km 226.500 of NH-130-CD Package OD-3,NHAI,619109,Odisha,03/2021,04/2022,04/2024,09/2026,1101.76,0.00,713.51,99.70,131
1386,Ministry of Road Transport & Highways,Roads & Highways,Four Laning of Angul to Sambalpur from Km.112.000 to Km.265.000,NHAI,619118,Odisha,09/2016,03/2017,08/2019,09/2026,2510.04,0.00,2465.02,99.98,131
1387,Ministry of Road Transport & Highways,Roads & Highways,Cuttack-Angul Section of NH-42 New NH-55 from km 0.400 to km 60.200 Pkg-I in the State of Odisha,NHAI,619119,Odisha,10/2017,01/2018,07/2020,12/2026,999.32,0.00,1132.56,99.00,131
1388,Ministry of Road Transport & Highways,Roads & Highways,4 Laning of Duburi Chandikhole from km 388.376 to km 428.074 Pkg-III,NHAI,619158,Odisha,01/2018,02/2020,08/2022,12/2026,789.00,0.00,725.21,86.00,131
1389,Ministry of Road Transport & Highways,Roads & Highways,Rehabilitation and Up gradation from 4 to 8 laning of Chandikhole Paradip Section of NH-53 Old NH 5A from Km.60.000 to Km.76.646 Package-4,NHAI,619181,Odisha,03/2023,11/2024,10/2026,12/2027,882.45,0.00,201.34,36.02,132
1390,Ministry of Road Transport & Highways,Roads & Highways,6L of Hatibena - Badakumari Section from Km 146.50 to km 179.00 of NH-130-CD Package OD-2,NHAI,619213,Odisha,02/2021,03/2022,03/2024,09/2026,791.17,0.00,734.23,99.99,132
1391,Ministry of Road Transport & Highways,Roads & Highways,Cuttack-Angul Section of NH-42 New NH-55 from Km.60.200 to Km. 112.000 Pkg-II in the State of Odisha,NHAI,619215,Odisha,10/2017,03/2018,09/2020,12/2026,991.41,0.00,1084.35,99.66,132
1392,Ministry of Road Transport & Highways,Roads & Highways,Development to 4-lane with paved shoulder for the road section Talwandi Sabo- Raman road to refinery Road junction with Bathinda Dabwali Road of NH-254 from existing Km 131.600 to Km 155.650 Design Km 131600 to km 155600 in the State of Punjab. Job No NH-254-PB-2022-23-565,MoRTH,618010,Punjab,03/2023,05/2025,11/2026,11/2026,546.67,0.00,382.82,72.00,132
1393,Ministry of Road Transport & Highways,Roads & Highways,Up-gradation to two lane with paved shoulder configuration of NH-354 Section Arifkes- Ferozepur-Muktsar-Malaut from Km 201.500 to Km 212.500 & Km 229.690 to Km 269.960 and strengthening of existing pavement from Km 212.500 to Km 229.690 excluding Km 218.500 to 223.690 of NH-354 on EPC Mode in the State of Punjab. Job No. NH-354-PB-2020-21-532,MoRTH,618024,Punjab,03/2021,10/2023,04/2025,09/2026,263.19,0.00,193.83,89.00,132
1394,Ministry of Road Transport & Highways,Roads & Highways,Delhi-Amritsar-Katra Expressway Phase-I Pkg-IX from Junction with Ludhiana-Moga road NH-5 near Mullanpur Dakha to Junction with Jalandhar - Moga road NH-703 near Kang Sahibu village Km 260860 to km 303900,NHAI,618489,Punjab,12/2020,07/2022,07/2024,03/2027,1851.47,0.00,1944.05,73.35,132
1395,Ministry of Road Transport & Highways,Roads & Highways,Delhi-Amritsar-Katra Expressway Phase-I Pkg-XII from Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur to Junction with Pathankot-Gurdaspur road NH-54 near Gurdaspur Km 362420 to km 397700,NHAI,618492,Punjab,03/2021,02/2025,02/2027,06/2027,1734.18,0.00,781.01,27.60,132
1396,Ministry of Road Transport & Highways,Roads & Highways,Delhi-Amritsar-Katra Expressway Phase-I Spur-I from Jn. with Kapurthala - Sultanpur Lodhi Road NH-703A near Isharwal village to Jn. with Kapurthala - Tarn Taran road NH-703AA near Goinwal Sahib [Km 24000 to Km 41000 of Amritsar connectivity],NHAI,618493,Punjab,12/2021,04/2023,04/2026,03/2028,2165.23,0.00,635.80,34.79,132
1397,Ministry of Road Transport & Highways,Roads & Highways,Greenfield connectivity from Govindsar village on Delhi Amritsar Katra Expressway to Talwara village on NH-44 Pathankot by-pass,NHAI,618551,Punjab,11/2024,07/2025,07/2027,07/2027,666.81,0.00,231.08,29.01,132
1398,Ministry of Road Transport & Highways,Roads & Highways,Development of 6L Greenfield Jalandhar Bypass starting from Kahlwan NH-03 ending at Kang Sahbu NH-703 via Sarmastpur NH-44 - Madara NH-03 - Khajurla NH-44,NHAI,618552,Punjab,03/2021,01/2023,01/2025,06/2027,1754.84,0.00,1252.18,56.70,132
1399,Ministry of Road Transport & Highways,Roads & Highways,6L of Jodhpur Romana Bathinda - Mandi Dabwali Punjab Haryana Border section of NH-54 from km. 0.000 to km. 27.400 of NH-54,NHAI,618610,Punjab,05/2020,08/2023,08/2025,09/2026,789.26,0.00,719.19,99.00,132
1400,Ministry of Road Transport & Highways,Roads & Highways,6L Amritsar-Bathinda Greenfield section from village Tiba on NE-5A to Jn. with Moga Jalandhar road NH-703 near Dharamkot from km 0.000 to km 39.000 of NH-754A Pkg-1,NHAI,618617,Punjab,03/2021,11/2022,11/2024,12/2027,1229.38,0.00,1077.84,72.41,132
1401,Ministry of Road Transport & Highways,Roads & Highways,6L Amritsar-Bathinda Greenfield section from Jn. with Bhagta Bhai Ka-Bhadaur Road near Dyalpura Bhai Ka to Jn. with Mandi Dabwali Bathinda Road on NH-54 near Sangat Kalan from km 93.000 to km 154.866 of NH-754A Pkg-3,NHAI,618618,Punjab,03/2021,06/2024,06/2026,07/2027,2029.17,0.00,1443.14,74.00,132
